鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
林口區,房地(土地+建物)+車位,文化二路一段20巷31~60號,17.45,都市：其他:第五種住宅區,,,1091116,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830819,121.25,3,2,2,有,有,8528000,70334,坡道平面,0.0,0,,RPTRMLKKKIPFFBF58DA,67.03,0.0,10.12,有,
新莊區,土地,海山頭段三角子小段61~90地號,472.33,都市：其他:第三種住宅區。,,,1091023,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52150000,110410,,0.0,0,,RPOTMLKKKIPFFBF28DA,0.0,0.0,0.0,無,
新莊區,土地,海山頭段三角子小段61~90地號,370.67,都市：其他:第三種住宅區。,,,1091127,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40920000,110395,,0.0,0,,RPVTMLKKKIPFFBF98DA,0.0,0.0,0.0,無,
林口區,房地(土地+建物)+車位,文化三路一段61~90號,52.54,都市：其他:第五種住宅區,,,1090914,土地1建物1車位2,五層,四十一層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090806,456.4,0,0,0,無,有,50500000,112045,坡道平面,42.28,4100000,毛胚屋;,RPVSMLPKKIPFFBF76DA,236.91,16.42,23.8,有,
五股區,房地(土地+建物)+車位,成泰路一段211~240號,12.61,都市：其他:住宅區,,,1091218,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850715,126.8,2,2,1,有,有,8200000,64664,坡道平面,0.0,0,,RPQOMLMLKIPFFBF28DA,107.19,0.0,10.16,有,
新莊區,房地(土地+建物)+車位,五工二路86巷1~30號,32.07,,工業區,丁種建築用地,1091212,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951012,182.35000000000002,4,2,2,有,有,17000000,93227,坡道平面,42.99,0,,RPPPMLTLKIPFFBF98DA,93.43,4.31,9.91,有,
泰山區,房地(土地+建物),明志路一段466巷1~30號,29.54,都市：其他:住宅區,,,1091212,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680731,107.91,3,2,2,有,無,9300000,86183,,0.0,0,其他增建;,RPQRMLPJJHGGFBF67DA,107.91,0.0,0.0,無,0013
泰山區,房地(土地+建物)+車位,福興二街1~30號,14.67,都市：其他:第二種住宅區,,,1091123,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920114,103.59,2,1,1,有,有,10500000,101361,坡道平面,27.11,0,陽台外推;,RPTPMLQJJHGGFBF87DA,47.78,0.64,8.47,有,
泰山區,房地(土地+建物),明志路二段298巷1~30號,19.73,都市：其他:住宅區,,,1091226,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831003,77.69,2,2,1,有,無,5260000,67705,,0.0,0,其他增建;,RPRQNLQJJHGGFBF87DA,60.68,0.0,7.59,無,
新莊區,車位,中正路691~720號,0.38,都市：其他:溝渠用地,,,1100106,土地2建物1車位1,,,其他,,,,28.26,0,0,0,有,有,1700000,,坡道平面,28.26,1700000,僅車位交易;,RPQNMLSJJHGGFBF57DA,0.0,0.0,0.0,有,0014
新莊區,房地(土地+建物),福壽街14巷1~30號,21.71,都市：其他:住宅區,,,1100111,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870307,158.51999999999998,3,2,2,有,有,13300000,83901,,0.0,0,,RPWOMLNKJHGGFBF87DA,82.02,0.0,11.47,有,
